"isoform_id","Selection_Count","Frequency"
"ENST00000647299.1",53,100
"ENST00000340811.9",53,100
"ENST00000845472.1",53,100
"ENST00000686347.1",53,100
"ENST00000645161.1",53,100
"ENST00000643989.1",53,100
"ENST00000683681.1",53,100
"ENST00000966471.1",53,100
"ENST00000623877.1",53,100
"ENST00000898481.1",53,100
"ENST00000764379.1",53,100
"ENST00000692033.2",53,100
"ENST00000599097.1",53,100
"ENST00000909476.1",53,100
"MSTRG.17093.4",53,100
"ENST00000911948.1",49,92.4528301886792
"MSTRG.22985.1",41,77.3584905660377
"ENST00000971963.1",40,75.4716981132076
"ENST00000875642.1",35,66.0377358490566
"ENST00000875643.1",35,66.0377358490566
