"isoform_id","gene_id","gene_name","Selection_Count","Frequency"
"ENST00000647299.1","MSTRG.1240","ST3GAL3",53,100
"ENST00000340811.9","ENSG00000057294.19","PKP2",53,100
"ENST00000845472.1","MSTRG.5927","GOT1-DT",53,100
"ENST00000686347.1","MSTRG.14583","MAP2K1",53,100
"ENST00000645161.1","MSTRG.1240","ST3GAL3",53,100
"ENST00000643989.1","MSTRG.1240","ST3GAL3",53,100
"ENST00000683681.1","MSTRG.14680","HEXA",53,100
"ENST00000966471.1","MSTRG.20843","ANKRD24",53,100
"ENST00000623877.1","MSTRG.16433","ENSG00000280027",53,100
"ENST00000898481.1","MSTRG.29189","RANGAP1",53,100
"ENST00000764379.1","MSTRG.23141","LINC00299",53,100
"ENST00000692033.2","MSTRG.23141","LINC00299",53,100
"ENST00000599097.1","MSTRG.21532","HOMER3",53,100
"ENST00000909476.1","MSTRG.30061","CCRL2",53,100
"MSTRG.17093.4","MSTRG.17093",NA,53,100
"ENST00000911948.1","MSTRG.22547","PRMT1",49,92.4528301886792
"MSTRG.22985.1","MSTRG.22985",NA,41,77.3584905660377
"ENST00000971963.1","MSTRG.6290","OAT",40,75.4716981132076
"ENST00000875642.1","MSTRG.20685","DAZAP1",35,66.0377358490566
"ENST00000875643.1","MSTRG.20685","DAZAP1",35,66.0377358490566
