"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"ENST00000647299.1",9.07146236255662,9.211888294546,9.467605550083,8.92481250360578,9.37937836707126,0,0,0,0,1,0,0,0,0,0
"ENST00000340811.9",0,0,0,0,0,0,0,0,0,0,7,5.75488750216347,7.78790255939143,6.88264304936184,5.90689059560852
"ENST00000845472.1",7.09803208296053,6.59991284218713,7.01122725542325,5.32192809488736,6.82017896241519,0,2,0,0,0,0,0,0,0,0
"ENST00000686347.1",4.32192809488736,5.70043971814109,4.85798099512757,5.35755200461808,4.64385618977472,0,0,0,0,0,0,0,0,0,0
"ENST00000645161.1",4.16992500144231,4.64385618977472,4.4594316186373,3.16992500144231,3.4594316186373,7.4594316186373,9.56795607541547,8.6582114827518,7.34872815423108,6.6724253419715,8.37068740680722,7.56224242422107,7.93073733756289,8.31288295528435,7.96578428466209
"ENST00000643989.1",4.58496250072116,5.61470984411521,5.28540221886225,4.64385618977472,6.18982455888002,0,0,0,0,0,0,0,0,0,0
"ENST00000683681.1",0,0,0,0,0,0,0,0,0,0,4.85798099512757,3.4594316186373,3.70043971814109,4.39231742277876,3.8073549220576
"ENST00000966471.1",4.39231742277876,4.75488750216347,3.70043971814109,4.16992500144231,5.4262647547021,0,0,0,0,0,0,0,0,0,0
"ENST00000623877.1",8.29462074889163,7.65105169117893,7.4093909361377,7.24792751344359,7.52356195605701,7.17990909001493,7.38370429247405,8.7279204545632,8.70735913208088,8.34429590791582,4,3.16992500144231,3.4594316186373,4.64385618977472,4.95419631038687
"ENST00000898481.1",7.62205181945638,7.40087943628218,5.95419631038687,5.35755200461808,5.49185309632967,0,0,0,0,0,0,0,0,0,0
"ENST00000764379.1",6.78135971352466,6.79441586635011,6.20945336562895,6.24792751344359,6.95419631038687,6.04439411935845,7.07681559705083,6.89481776330794,6.24792751344359,5.90689059560852,4.52356195605701,4.90689059560852,4.24792751344359,4.95419631038687,4
"ENST00000692033.2",5.85798099512757,5.95419631038687,5.20945336562895,6.06608919045777,6.10852445677817,5.16992500144231,6.16992500144231,5.85798099512757,5.16992500144231,4.70043971814109,4,3.4594316186373,4.08746284125034,3.8073549220576,4.08746284125034
"ENST00000599097.1",0,0,0,0,0,4.8073549220576,2.8073549220576,4.58496250072116,4.64385618977472,4.4594316186373,3.32192809488736,3.58496250072116,5.49185309632967,4.16992500144231,4.70043971814109
"ENST00000909476.1",4.32192809488736,4.16992500144231,4.58496250072116,5,5.20945336562895,3.8073549220576,1.58496250072116,4.58496250072116,4.24792751344359,4.64385618977472,0,0,0,0,0
"MSTRG.17093.4",8.50382573799575,9.17492568250068,9.06608919045777,8.86727873970966,9.25738784269265,7.40087943628218,8.16490692667569,7.53915881110803,8.14465824283188,7.57742882803575,9.70043971814109,10.2360141919001,9.44294349584873,9.7632123668144,10.0687782779854
"ENST00000911948.1",4.70043971814109,0,0,0,0,0,0,0,0,0,4.70043971814109,5.4594316186373,5.16992500144231,4.08746284125034,5
"MSTRG.22985.1",9.37721053038855,8.36194377373524,8.43045255166553,8.87344411251538,8.45121111183233,0,0,0,0,2.58496250072116,0,1.58496250072116,0,0,0
"ENST00000971963.1",5,4.4594316186373,5.4262647547021,5.32192809488736,5.49185309632967,0,0,0,0,0,0,0,0,3.16992500144231,0
"ENST00000875642.1",5.20945336562895,5.97727992349992,5.52356195605701,5.85798099512757,5.16992500144231,0,0,0,0,0,5,0,0,2.8073549220576,0
"ENST00000875643.1",5,6.12928301694497,5.35755200461808,5.83289001416474,5.16992500144231,0,0,0,0,0,5,0,0,2.8073549220576,0
