"isoform_id","gene_id","gene_name"
"ENST00000647299.1","MSTRG.1240","ST3GAL3"
"ENST00000340811.9","ENSG00000057294.19","PKP2"
"ENST00000845472.1","MSTRG.5927","GOT1-DT"
"ENST00000686347.1","MSTRG.14583","MAP2K1"
"ENST00000645161.1","MSTRG.1240","ST3GAL3"
"ENST00000643989.1","MSTRG.1240","ST3GAL3"
"ENST00000683681.1","MSTRG.14680","HEXA"
"ENST00000966471.1","MSTRG.20843","ANKRD24"
"ENST00000623877.1","MSTRG.16433","ENSG00000280027"
"ENST00000898481.1","MSTRG.29189","RANGAP1"
"ENST00000764379.1","MSTRG.23141","LINC00299"
"ENST00000692033.2","MSTRG.23141","LINC00299"
"ENST00000599097.1","MSTRG.21532","HOMER3"
"ENST00000909476.1","MSTRG.30061","CCRL2"
"MSTRG.17093.4","MSTRG.17093",NA
"ENST00000911948.1","MSTRG.22547","PRMT1"
"MSTRG.22985.1","MSTRG.22985",NA
"ENST00000971963.1","MSTRG.6290","OAT"
"ENST00000875642.1","MSTRG.20685","DAZAP1"
"ENST00000875643.1","MSTRG.20685","DAZAP1"
